49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,1.9878,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1838,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1838,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1838,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1838,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49448000,0.1801,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49444000,0.0028,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1788,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.1761,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49449000,2,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49448000,0.168,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49454000,0.0045,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49448000,0.168,0,2023-11-12 6:44,49450000,0.0122,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49452000,0.0022,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49453000,0.0018,1,2023-11-12 6:44
